0.037746,-0.0942333,-0.170151,-0.00121704,0.00311324,-0.0153093
0.0640674,-0.148632,-0.273844,0.00492813,-0.00583365,-0.011496
0.0366699,-0.156513,-0.355595,-0.00342916,-0.0103076,-0.0109011
0.0158472,-0.0808819,-0.408338,-0.0219829,-0.00404689,-0.0121007
-0.00930737,0.0295377,-0.378392,-0.025216,0.00854907,-0.0113182
0.253295,0.887164,-1.50931,-0.169283,0.0706578,0.177884
0.292572,1.25286,-1.03512,-0.0896727,0.0133872,0.17494
0.181873,1.33442,0.359445,-0.042353,-0.0108441,0.175376
-0.133725,1.19493,2.52635,-0.0340452,-0.0739772,0.175589
-0.413103,0.568626,2.71313,0.118276,-0.0879403,0.183904
-0.30075,0.507784,-0.0892946,0.00169717,0.00196129,0.15698
-0.254475,0.561181,-0.784858,-0.00980995,-1.98286e-05,0.162024
-0.255999,0.735219,-1.07923,-0.0682528,-0.00542341,0.155177
-0.164219,0.679132,-1.92098,-0.0165807,0.0137311,0.16235
-0.0102699,0.581437,-2.87462,-0.0100304,0.0211132,0.160894
-0.0465507,0.504035,0.0131394,-0.0120522,0.0277842,0.10457
-0.0872327,0.412325,-0.0740179,-0.00656645,0.0201808,0.106822
-0.135387,0.309955,-0.157318,-0.0022362,0.0113277,0.103694
-0.194034,0.259099,-0.194915,0.00897196,0.0112841,0.103044
-0.236013,0.177797,0.00198548,-0.000291365,0.016227,0.103765
-0.0510411,-0.864328,0.419467,0.19529,0.0328375,0.0957524
0.102027,-1.20896,0.0513266,0.0875249,0.0601051,0.0892646
0.273182,-1.03785,-0.891101,-0.00159897,0.0590901,0.0868763
0.346361,-0.55874,-1.61334,-0.0778653,0.0553767,0.0785062
0.255281,-0.0635342,-2.1389,-0.0904416,0.0584806,0.0824557
0.271836,0.220951,0.81022,-0.0466932,0.0525277,0.0857801
0.261655,0.218173,-0.367498,0.00573505,0.0188851,0.0930217
0.109924,0.20731,-1.09457,0.0212725,-0.00361952,0.0868307
-0.107858,0.397716,-1.17352,-0.0284015,-0.0202948,0.0835914
-0.350347,0.698786,-1.90613,-0.0551332,-0.0149335,0.0854028
-0.344252,0.554473,-0.4037,-0.00788822,0.0143466,0.047382
-0.326815,0.488274,-0.351801,-0.00056661,0.0124521,0.0467077
-0.294196,0.373871,-0.202987,-0.00744958,0.010767,0.0452274
-0.243134,0.285636,-0.383782,-0.00963385,0.00769642,0.0490297
-0.291025,0.238402,-0.330717,-0.00272427,0.0199254,0.0489366
0.592829,0.419532,-2.68258,-0.0811064,0.130773,-0.0732618
1.35414,0.431201,-1.6916,-0.0578808,0.164742,-0.0695642
1.87152,0.394056,-1.28907,-0.0422007,0.161568,-0.0674646
